NOM ;ADRESSE ;Compl Adr ;CP ;Ville ;latitude;longitude;result_label;result_score;result_type;result_id;result_housenumber;result_name;result_street;result_postcode;result_city;result_context;result_citycode
PIROI ;1 rue de la croix rouge ;Zac De La Mare;97438;Ste Marie ;-20.896190;55.532776;1 rue de la croix rouge ;;;;;rue de la croix rouge ;;97438;Sainte-Marie;974, La R€÷union;97438
Antenne St paul ;6 Ter Route Savanna;Local N€ö1;97460;St Paul ;-20.98708;55.294019;6 TER Route de Savanna 97460 Saint-Paul;0.5;housenumber;ADRNIVX_0000001402460158;6 TER;Route de Savanna;;97460;Saint-Paul;974, La R€÷union;97415
Antenne St Pierre ;30 Rue Jules Hermann;;97410;St Pierre;-21.32378;55.481141;30 Rue Jules Hermann 97410 Saint-Pierre;0.6;housenumber;ADRNIVX_0000001402032729;30;Rue Jules Hermann;;97410;Saint-Pierre;974, La R€÷union;97416
Antenne St Benoit ;19 Rue de Bouvet ;;97470;St Benoit;-21.035745;55.716448;19 Rue Amiral Bouvet 97470 Saint-Beno€¸t;0.46;housenumber;ADRNIVX_0000001402630217;19;Rue Amiral Bouvet;;97470;Saint-Beno€¸t;974, La R€÷union;97410
Local plaine des palmistes ;;;97431;Plaine des palmistes ;-21.151717;55.617769;Impasse des Palmistes 97431 La Plaine-des-Palmistes;0.64;street;97406_XXXX_887a7a;;Impasse des Palmistes;;97431;La Plaine-des-Palmistes;974, La R€÷union;97406
Antenne le tampon ;297 Rue Hubert Delisle;;97430; Le Tampon;-21.276056;55.513006;297 Rue Hubert Delisle 97430 Le Tampon;0.63;housenumber;ADRNIVX_0000001401996287;297;Rue Hubert Delisle;;97430;Le Tampon;974, La R€÷union;97422
Antenne St Denis ;3 chemin Vavangues;Zac Finette, Ste Clotilde;97490;St Denis ;-20.898389;55.474077;3 Rue des Vavangues 97490 Saint-Denis;0.37;housenumber;ADRNIVX_0000001401779511;3;Rue des Vavangues;;97490;Saint-Denis;974, La R€÷union;97411
Plateforme alimentaire ;18 rue des artisans;;97490; Sainte Clotilde;-20.899931;55.474177;18 Rue des Artisans 97490 Saint-Denis;0.47;housenumber;ADRNIVX_0000001402403373;18;Rue des Artisans;;97490;Saint-Denis;974, La R€÷union;97411
Centre penitencier au port ;11 €ùrue faraday ;;97420;Le Port;-20.952857;55.3105;Rue Faraday 97420 Le Port;0.41;street;97407_0681_fffaa6;;Rue Faraday;;97420;Le Port;974, La R€÷union;97407
Deux Canons (aide alimentaire);Angles Avenue Stanislas Gimard et de Lattre de Tassigny;;97490;Sainte Clotilde;-20.889306;55.476214;Avenue Mar€÷chal de Lattre de Tassigny 97490 Saint-Denis;0.43;street;97411_XXXX_a6cf32;;Avenue Mar€÷chal de Lattre de Tassigny;;97490;Saint-Denis;974, La R€÷union;97411
